gender,race/ethnicity,parental level of education,lunch,test preparation course,math score,reading score,writing score
male,group C,associate's degree,standard,complete,70,67,48
male,group D,high school,standard,complete,65,59,52
other,group C,high school,standard,complete,75,85,100
female,group A,high school,free/reduced,not complete,45,792,54
male,group D,associate's degree,free/reduced,complete,63,53,90
male,group E,Bachelor's degree,free/reduced,not complete,41,51,82
female,group D,associate's degree,standard,not complete,51,65,62
male,group B,bachelor's degree,free/reduced,complete,85,61,54
female,group B,bachelor's degree,free/reduced,not complete,30,88,63
female,group B,associate's degree,standard,complete,40,58,65
female,group C,associate's degree,standard,not complete,90,71,73
other,group E,high school,standard,complete,84,83,96
male,group C,master's degree,free/reduced,complete,36,91,85
male,group C,college,standard,not complete,69,60,99
male,Group E,associate's degree,free/reduced,complete,67,81,98
female,group C,master's degree,free/reduced,complete,86,31,61
other,group D,bachelor's degree,free/reduced,,50,43,61
male,group D,associate's degree,standard,complete,88,72,45
male,group E,associate's degree,standard,complete,780,65,80
,group B,high school,standard,complete,95,75,66
male,group E,college,standard,complete,48,43,94
female,group E,college,free/reduced,not complete,66,98,80
male,group C,college,standard,not complete,87,39,62
male,group A,associate's degree,standard,complete,87,98,79
female,group B,college,Standard,complete,72,79,77
male,group C,bachelor's degree,free/reduced,not complete,42,30,48
Male,group E,bachelor's degree,,,68,87,46
male,group E,master's degree,,complete,92,70,34
female,group D,college,free/reduced,not complete,74,74,100
male,group D,high school,free/reduced,complete,64,31,74
male,group E,bachelor's degree,standard,not complete,52,39,40
male,group D,bachelor's degree,standard,not complete,651,93,68
male,group A,college,free/reduced,complete,52,82,87
female,group A,high school,standard,complete,32,30,32
other,group D,high school,free/reduced,complete,240,48,51
male,group B,college,free/reduced,not complete,37,80,59
undisclosed,group E,bachelor's degree,standard,not complete,62,468,61
female,group D,bachelor's degree,free/reduced,complete,74,32,84
male,group C,high school,free/reduced,not complete,83,38,680
male,group C,associate's degree,free/reduced,complete,64,94,96
female,group B,associate's degree,standard,not complete,94,70,64
female,group A,high school,standard,not complete,62,37,51
female,group E,high school,free/reduced,complete,80,96,65
male,group B,high school,standard,not complete,72,72,64
female,,high school,free/reduced,complete,33,64,55
female,group C,associate's degree,standard,not complete,59,75,47
male,group E,high school,standard,not complete,97,66,65
male,group B,college,standard,not complete,46,53,80
other,group A,bachelor's degree,standard,not complete,97,92,74
female,group D,college,free/reduced,not complete,81,82,99
male,group C,college,standard,complete,76,79,56
female,group E,college,free/reduced,not complete,75,64,37
male,Group E,high school,free/reduced,not complete,91,39,68
male,group A,associate's degree,standard,complete,83,37,90
male,group D,associate's degree,standard,complete,93,44,87
female,group E,associate's degree,free/reduced,complete,77,58,63
female,Group A,college,standard,not complete,52,67,36
male,group A,high school,free/reduced,complete,33,38,68
female,,high school,standard,complete,39,79,34
male,group C,associate's degree,free/reduced,complete,54,70,98
female,group E,bachelor's degree,free/reduced,not complete,82,49,65
male,group B,high school,free/reduced,not complete,95,40,75
female,group E,college,standard,complete,63,92,72
female,group D,college,standard,Complete,52,96,75
undisclosed,group E,college,standard,complete,62,52,52
male,group A,bachelor's degree,free/reduced,not complete,68,68,63
other,group A,college,free/reduced,complete,75,46,66
other,Group B,bachelor's degree,free/reduced,complete,75,41,35
female,group A,master's degree,standard,not complete,98,70,801
female,group C,high school,free/reduced,not complete,67,74,46
male,group E,college,free/reduced,complete,66,32,37
male,group C,master's degree,free/reduced,not complete,100,60,82
male,group E,high school,standard,not complete,35,52,47
female,group B,college,standard,complete,92,93,46
female,group B,high school,standard,not complete,42,40,35
Female,group C,master's degree,standard,not complete,84,35,52
female,group B,high school,standard,not complete,87,63,59
male,group E,bachelor's degree,free/reduced,complete,68,99,34
female,group A,bachelor's degree,Free/reduced,not complete,60,84,55
undisclosed,group B,associate's degree,free/reduced,complete,78,32,78
Male,group D,bachelor's degree,standard,complete,40,58,86
female,group E,associate's degree,free/reduced,not complete,86,54,79
male,group C,bachelor's degree,free/reduced,complete,79,30,35
male,group C,college,free/reduced,not complete,82,56,100
undisclosed,group A,college,free/reduced,not complete,63,82,45
male,group E,high school,standard,complete,55,90,100
female,group D,college,standard,complete,63,92,40
male,group D,college,standard,complete,100,97,32
female,group C,associate's degree,Standard,complete,46,66,30
female,group C,college,free/reduced,not complete,53,52,41
male,group D,college,standard,complete,97,69,95
male,group D,bachelor's degree,standard,not complete,51,48,82
female,group C,associate's degree,free/reduced,,95,38,74
female,group C,associate's degree,free/reduced,,95,38,74
female,group A,bachelor's degree,standard,not complete,460,46,85
male,group A,college,standard,complete,64,98,48
female,group E,high school,free/reduced,not complete,88,77,100
male,group E,high school,standard,not complete,37,76,33
other,group B,college,free/reduced,complete,78,45,31
male,group B,bachelor's degree,standard,Not complete,90,33,92
female,group A,associate's degree,free/reduced,complete,49,91,92
undisclosed,group C,associate's degree,standard,not complete,71,84,32
Female,group D,college,free/reduced,not complete,37,84,77
male,group E,college,free/reduced,not complete,68,55,44
female,group A,master's degree,standard,complete,96,95,73
male,group A,bachelor's degree,free/reduced,complete,34,50,67
other,group B,college,standard,complete,48,96,84
male,Group E,college,standard,complete,59,84,64
male,group D,bachelor's degree,,complete,52,88,65
male,group E,bachelor's degree,free/reduced,complete,95,63,84
male,group C,associate's degree,free/reduced,complete,33,81,89
female,group B,high school,free/reduced,not complete,87,86,30
male,group B,college,standard,not complete,91,35,49
female,group A,high school,standard,complete,44,66,34
female,group D,associate's degree,standard,complete,97,49,41
undisclosed,group C,high school,free/reduced,not complete,84,49,35
female,group E,bachelor's degree,standard,not complete,56,32,62
female,group A,associate's degree,free/reduced,not complete,78,34,568
female,group A,college,free/reduced,not complete,95,49,32
female,group E,,free/reduced,not complete,39,71,78
male,group B,master's degree,free/reduced,not complete,89,51,37
female,group B,associate's degree,standard,not complete,69,44,51
male,group C,high school,free/reduced,not complete,54,78,52
male,group C,high school,free/reduced,complete,90,91,56
female,group D,bachelor's degree,standard,not complete,69,52,90
female,group D,high school,standard,complete,100,55,48
undisclosed,group C,high school,standard,not complete,55,68,41
,group A,college,free/reduced,complete,32,62,78
male,group B,college,free/reduced,complete,68,72,43
female,group E,high school,free/reduced,not complete,78,83,30
male,group D,high school,standard,complete,37,96,74
male,group B,associate's degree,free/reduced,complete,57,92,58
male,group E,associate's degree,free/reduced,complete,91,88,57
female,group C,college,standard,not complete,82,62,88
male,group D,high school,standard,complete,56,30,89
male,group B,bachelor's degree,standard,not complete,63,51,89
female,group C,bachelor's degree,free/reduced,complete,60,73,96
male,group C,associate's degree,,complete,62,91,65
female,group D,high school,free/reduced,complete,68,69,52
male,group D,high school,standard,complete,84,50,92
male,group B,bachelor's degree,free/reduced,complete,89,65,96
female,group C,high school,free/reduced,complete,38,62,49
male,group A,college,free/reduced,not complete,40,99,93
male,group B,college,free/reduced,complete,60,99,91
female,group B,college,standard,not complete,34,44,89
female,group B,high school,standard,complete,82,73,43
female,group C,college,standard,not complete,47,31,52
male,group A,associate's degree,standard,complete,68,62,68
other,group C,associate's degree,free/reduced,not complete,56,81,62
male,group C,high school,free/reduced,not complete,35,98,63
other,group C,college,free/reduced,not complete,405,45,37
other,group C,college,free/reduced,not complete,405,45,37
male,group B,high school,standard,complete,86,41,73
female,group B,high school,standard,complete,57,39,38
female,group B,high school,standard,complete,57,39,38
Male,group A,college,free/reduced,complete,63,95,51
female,group B,bachelor's degree,standard,complete,41,61,82
male,group E,high school,free/reduced,not complete,47,80,73
female,group D,high school,free/reduced,complete,79,62,55
female,group E,college,free/reduced,complete,518,74,51
female,group C,high school,free/reduced,complete,91,97,72
,group C,bachelor's degree,free/reduced,not complete,84,98,81
male,group B,,free/reduced,complete,51,72,49
female,group B,bachelor's degree,standard,not complete,65,85,83
male,group C,college,standard,complete,68,30,49
male,group B,college,free/reduced,complete,42,44,51
female,group E,college,standard,not complete,55,80,82
female,group A,high school,free/reduced,not complete,86,91,58
male,group C,high school,free/reduced,complete,91,69,75
other,group C,bachelor's degree,standard,complete,98,33,74
male,group D,associate's degree,standard,complete,90,49,49
male,group D,high school,standard,complete,69,57,57
male,group D,college,free/reduced,complete,900,75,98
male,group D,college,free/reduced,complete,900,75,98
female,group A,college,free/reduced,not complete,84,57,78
male,group C,college,free/reduced,complete,94,31,84
female,group D,associate's degree,standard,complete,33,53,85
female,group A,college,standard,complete,32,51,72
